contactdate,contacttime,cadincident,casenumber,dispatched,encountertype,beat,bfostopped,areastopped,blocknumber,Address,intelligenceled,bwcactivated,subject_reasonforencounter,suspicion_type_AB953,ReasonForStop,InitiatingOffense_AB953,TypeTraffic_AB953,TrafficCode,subjectnumber,LocationVehicleOccupant,subject_age,subject_agegroup,perceived_age_AB953,gender_opd,perceived_gender_AB953,GenderNonCon,LGBT,race_opd,perceived_race_AB953,RacePerceivedPrior,Disability,Fluency,Student,EduCode,EduCodeSubdivision,oaklandresident,Parole,Probation,stop_relatedactions_AB953,search_relatedactions_AB953,uof_relatedactions_AB953,other_actions_AB953,Consent_Person,Consent_Given_Person,Consent_Property,Consent_Given_Property,no_actions_above_ck,handcuffed,citationnumber,subject_durationofencounter,SearchRelatedActions_AB953,searchconducted,searched,SearchBasis_AB953,SearchTypeGrouping_opd,EvidDisc_AB953,discovery_opd,BasisForSeizure_AB953,recovery_opd,PropertySeized_AB953,ResultofStop_AB953,resultofstop_opd,UseOfForce_opd,FinalDate,VTKReportID,vtkreportid_without_minus_sign,Unique ID
1/1/21,04:00.0,LOP210101000448,NULL,Non-Dispatch,Vehicle,23X,BFO 2,Area 4,6000,Foothill Boulevard,No,Yes,Traffic violation,NULL,Traffic Violation,22107-VC-UNSAF TURN &/OR NO SIGNAL-I,Moving violation,22107-VC-UNSAF TURN &/OR NO SIGNAL-I,1,Driver,26,18-29,20,M,Male,0,0,Black/African American,Black/African American,Yes,"None,",0,NULL,NULL,NULL,No,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2042724,20,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,1/1/21,LPRWAAJTC4CRP1,LPRWAAJTC4CRP1,LPRWAAJTC4CRP1-1
1/1/21,42:00.0,LOP210101000927,NULL,Non-Dispatch,Vehicle,19X,BFO 1,Area 3,800,International Boulevard,Yes,Yes,Traffic violation,NULL,Traffic Violation,24252(A)-VC-FAIL MAINT VEH LITE EQUIP-I,Equipment violation,24252(A)-VC-FAIL MAINT VEH LITE EQUIP-I,1,Driver,35,30-39,30,F,Female,0,0,Hispanic,Hispanic/Latino(a),No,"None,",0,NULL,NULL,NULL,Yes,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,20,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,2/24/21,809WAAU3T3R45Y,809WAAU3T3R45Y,809WAAU3T3R45Y-1
1/1/21,42:00.0,LOP210101000927,NULL,Non-Dispatch,Vehicle,19X,BFO 1,Area 3,800,International Boulevard,Yes,Yes,Traffic violation,NULL,Traffic Violation,24252(A)-VC-FAIL MAINT VEH LITE EQUIP-I,Moving violation,24252(A)-VC-FAIL MAINT VEH LITE EQUIP-I,2,Passenger,32,30-39,30,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,",No Action,NULL,2/24/21,809WAAU3T3R45Y,809WAAU3T3R45Y,809WAAU3T3R45Y-2
1/2/21,13:00.0,LOP210102000841,NULL,Non-Dispatch,Vehicle,12X,BFO 1,Area 2,600,51st Street,No,Yes,Traffic violation,NULL,Traffic Violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,1,Driver,34,30-39,20,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2131475,25,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,1/3/21,855WABXPP5APE8,855WABXPP5APE8,855WABXPP5APE8-1
1/2/21,43:00.0,LOP210102000397,NULL,Non-Dispatch,Vehicle,26X,BFO 2,Area 4,5000,E 12th Street,Yes,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,46,Over 40,40,F,Female,0,0,Hispanic,Hispanic/Latino(a),Yes,"Speech impairment or limited use of language,",1,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,No,NULL,No,NULL,0,NULL,NULL,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Warning (verbal or written) - Offense(s) required,",Warning,NULL,1/2/21,LPRWABM3R7341M,LPRWABM3R7341M,LPRWABM3R7341M-1
1/2/21,14:00.0,LOP210102000063,NULL,Non-Dispatch,Vehicle,19X,BFO 1,Area 3,2000,International Boulevard,Yes,Yes,Traffic violation,NULL,Traffic Violation,24250-VC-DRIVE WITHOUT LIGHTS:DARK-I,Equipment violation,24250-VC-DRIVE WITHOUT LIGHTS:DARK-I,1,Driver,30,30-39,30,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2132444,20,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,1/8/21,853WABBZZV7V8X,853WABBZZV7V8X,853WABBZZV7V8X-1
1/3/21,03:00.0,LOP210103000101,NULL,Non-Dispatch,Vehicle,19X,BFO 1,Area 3,1400,15th Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,4000(A)(1)-VC-NO REG:VEH/TRAILER/ETC-I,Equipment violation,4000(A)(1)-VC-NO REG:VEH/TRAILER/ETC-I,1,Driver,30,30-39,35,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,"Patrol car detention,",NULL,NULL,NULL,No,NULL,No,NULL,0,No,NULL,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,1/3/21,LPRWACCG3XERDW,LPRWACCG3XERDW,LPRWACCG3XERDW-1
1/3/21,00:00.0,LOP210103000705,NULL,Non-Dispatch,Vehicle,27X,BFO 2,Area 4,4800,Bond Street,No,Yes,Traffic violation,NULL,Traffic Violation,21950(A)-VC-FAIL YIELD TO PED:XWALKS-I,Moving violation,21950(A)-VC-FAIL YIELD TO PED:XWALKS-I,1,Driver,33,30-39,30,F,Female,0,0,Hispanic,Hispanic/Latino(a),No,"None,",1,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2022026,5,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,7/20/21,LPRWACTMK4EBO2,LPRWACTMK4EBO2,LPRWACTMK4EBO2-1
1/3/21,25:00.0,LOP210103000817,NULL,Non-Dispatch,Vehicle,20X,BFO 1,Area 3,2700,International Boulevard,No,Yes,Traffic violation,NULL,Traffic Violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,1,Driver,53,Over 40,50,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2110111,20,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,1/4/21,LPRWACXKZCRM8P,LPRWACXKZCRM8P,LPRWACXKZCRM8P-1
1/4/21,33:00.0,LOP210104000427,NULL,Non-Dispatch,Vehicle,18X,BFO 1,Area 3,2000,16th Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,5200(A)-VC-DISPLAY LIC PLATES WRONG-I,Equipment violation,5200(A)-VC-DISPLAY LIC PLATES WRONG-I,1,Driver,26,18-29,26,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,No,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,1/5/21,854WADOC0F2HRW,854WADOC0F2HRW,854WADOC0F2HRW-1
1/4/21,20:00.0,LOP210104000920,NULL,Non-Dispatch,Vehicle,33X,BFO 2,Area 5,1300,81st Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,4463(A)(1)-VC-FORGE/ALTER VEH REG/ETC-F,Equipment violation,4463(A)(1)-VC-FORGE/ALTER VEH REG/ETC-F,1,Driver,24,18-29,20,F,Female,0,0,Hispanic,Hispanic/Latino(a),No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,1/5/21,LPRWADXRKWHFKO,LPRWADXRKWHFKO,LPRWADXRKWHFKO-1
1/4/21,47:00.0,LOP210104000678,NULL,Non-Dispatch,Vehicle,31X,BFO 2,Area 5,8400,International Boulevard,No,Yes,Traffic violation,NULL,Traffic Violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,1,Driver,20,18-29,20,M,Male,0,0,Hispanic,Hispanic/Latino(a),No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2058166,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,1/28/21,492WARXA3JAKEH,492WARXA3JAKEH,492WARXA3JAKEH-1
