Date,Time,Street,Cross Street,Source of Call,Total OnScene Time,Stop - K-12?,Stop - School Code,Stop - Officer Assignment,Stop - Reason For,Stop - Suspicion Types,Stop - Violation Type,Stop - Perc Race,Stop - Perc Disabilities,Stop - Perc Gender,Stop - Perc LGBT?,Stop - Limited English?,Stop - Perc Age,Stop - Actions Taken,Stop - Search Basis,Stop - Evidence Discovered,Stop - Seized Property Basis,Stop - Seized Property Type,Stop - Result,Stop - Citation Code 1,Stop - Citation Desc 1,Stop - Custodial Code 1,Stop - Custodial Desc 1,Stop - Cite/Release Code 1,Stop - Cite/Release Desc 1,Stop - Warning Code 1,Stop - Warning Desc 1,Stop - Educ Section,Stop - Educ Subdivision
1/1/20,12:55:22,I 80 W,MACE BL,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Female,F,F,60,None,,,,,Warning (verbal or written),,,,,,,21960(A) VC,PEDESTRIAN/ETC ON FREEWAY - I,,
1/1/20,14:58:16,F ST,2ND ST/3RD ST,O,10,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Hispanic/Latino,None,Male,F,F,40,None,,,,,Warning (verbal or written),,,,,,,22515(A) VC,FAIL SET BRK/ETC:UNAT VEH - I,,
1/1/20,23:37:16,LAKE BL,W COVELL BL,O,6,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,25,None,,,,,Warning (verbal or written),,,,,,,24250 VC,DRIVE WITHOUT LIGHTS:DARK - I,,
1/1/20,23:01:05,RUSSELL BL,ARTHUR ST,O,34,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,25,"Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,Warning (verbal or written),,,,,,,24600 VC,TAILLAMP VIOLATIONS - I,,
1/1/20,09:09:31,2ND ST,FERMI PL/MACE BL,O,58,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,35,"Handcuffed or flex cuffed, Search of person was conducted, Search of property was conducted","Condition of parole/probation/PRCS/mandatory supervision, Evidence of crime, Incident to arrest",None,,,Custodial arrest without warrant,,,11364(A) HS,POSS UNLAW PARAPHERNALIA - M,,,,,,
1/1/20,22:45:10,LAKE BL,BOATHOUSE AV/W COVELL BL,O,7,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Hispanic/Latino,None,Male,F,F,40,None,,,,,Warning (verbal or written),,,,,,,4000(A) VC,NO REG:VEH/TRAILER/ETC - I,,
1/2/20,04:41:21,LAKE BL,BOATHOUSE AV/W COVELL BL,O,142,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Actions indicative of a drug transaction,,White,None,Male,F,F,30,Asked for consent to search person,,,,,No action,,,,,,,,,,
1/2/20,12:18:35,J ST,DREXEL DR,O,9,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Black/African American,None,Male,F,F,31,None,,,,,Warning (verbal or written),,,,,,,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,
1/2/20,23:58:40,SYCAMORE LN,WAKE FOREST DR,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,25,None,,,,,No action,,,,,,,,,,
1/2/20,10:07:04,1ST ST,D ST/RICHARDS BL,O,5,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,25,None,,,,,Warning (verbal or written),,,,,,,602 PC,TRESPASSING - M,,
1/2/20,04:41:21,LAKE BL,BOATHOUSE AV/W COVELL BL,O,142,F,,"Patrol, traffic enforcement, field operations",Consensual encounter resulting in search,,,White,None,Male,F,F,30,"Handcuffed or flex cuffed, Property was seized, Search of property was conducted",Incident to arrest,Other contraband or evidence,Evidence,Drug paraphernalia,Custodial arrest pursuant to outstanding warrant,,,,,,,,,,
1/2/20,21:56:30,E 8TH ST,SIMMONS WY,O,28,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Black/African American,None,Female,F,F,20,"Asked for consent to search property, Person removed from vehicle by order, Search of person was conducted, Search of property was conducted","Condition of parole/probation/PRCS/mandatory supervision, Consent given",None,,,Warning (verbal or written),,,,,,,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,
1/2/20,19:43:56,LYNDELL TR,JOHN JONES RD,O,211,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,Black/African American,"Mental health condition, Speech impairment or limited use of language",Male,F,F,50,"Handcuffed or flex cuffed, Property was seized, Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,Drugs/narcotics,"Contraband, Evidence",Drugs/narcotics,Custodial arrest without warrant,,,11377(A) HS,POSSESS CNTL SUB - M,,,,,,
1/2/20,22:38:13,W COVELL BL,JOHN JONES RD,O,505,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,35,"Handcuffed or flex cuffed, Patrol car detention, Property was seized, Search of person was conducted, Search of property was conducted, Vehicle impounded",Condition of parole/probation/PRCS/mandatory supervision,"Drug paraphernalia, Drugs/narcotics, Other contraband or evidence","Contraband, Evidence",Drugs/narcotics,Custodial arrest without warrant,,,11377(A) HS,POSS CONTROLLED SUBSTANCE - F,,,,,,
