LEA Record ID,Agency ORI,LEA Batch ID,Transaction Type,NFIA,Date/Time of Stop,Duration of Stop,Is Stop Made in Response to Call for Service,Officer Unique ID,Officer Years of Experience,Officer Type of Assignment,Other Assignment Type,Proxy Login,Location,City,Is Location a K‐12 Public School,K‐12 School Code,Per00n Number,Perceived Race or Ethnicity,Perceived Race or Ethnicity 2,Perceived Gender 1‐4,Perceived Gender 5 ‐ Gender Nonconforming,Is LGBT,Perceived Age,Per00n had Limited or No English Fluency,Perceived or Known Disability,Perceived or Known Disability 2,Perceived or Known Disability 3,"If K‐12 School, Is Stop of a Student",Rea00n for Stop,Rea00n for Stop Narrative,Traffic Violation Type,Traffic Violation ‐ CJIS Offense Code,Education Code Section,Education Code Subdivision,Suspicion CJIS Offense Code,Suspicion Sub‐Type,Suspicion Sub‐Type 2,Actions Taken,Actions Taken 2,Actions Taken 3,Actions Taken 4,Basis for Search,Basis for Search Narrative,Basis for Property Seizure,Type of Property Seized,Type of Property Seized 2,Type of Property Seized 3,Contraband or Evidence,Contraband or Evidence 2,Contraband or Evidence 3,Result of Stop,Warning CJIS Offense Code(s),Citation CJIS Offense Code(s),In‐field cite and release CJIS Offense Code(s),Custodial arrest CJIS Offense Code(s),Beat,Race Noted Before Detention,Marin Resident,,,,,,,,,,,,,,,,,
7ebb44a1-251b-4efd-b7ab-a5721bc79965,CA0210000,,,,9/30/2020 22:30,5,No,,0,"1_Patrol, traffic enforcement, field operations",,,2000 sir Francis drake Blvd ,FAIRFAX,No,,,3_Hispanic/Latino(a),,1_Male,,No,45,Yes,8_None,,,,1_Traffic violation,Trailer scraping the ovenware causing sparks,2_Equipment violation,54511,,,,,,24_NONE,,,,,,,,,,1_None,,,2_Warning (verbal or written),29004(A),,,,,,,,,,,,,,,,,,,,,,,
bdc64e6b-526a-4516-bfed-ad266850d584,CA0210000,,,,10/1/2020 00:16,30,No,13020,1,"1_Patrol, traffic enforcement, field operations",,,800 Redwood Highway Frontage Road,MILL VALLEY,No,,,3_Hispanic/Latino(a),,1_Male,,No,30,Yes,8_None,,,,1_Traffic violation,"No license plates, driver suspended cited for 14601.5",2_Equipment violation,54085,,,,,,24_NONE,,,,,,,,,,1_None,,,4_In-field cite and release,,,14601.5(A),,,,,,,,,,,,,,,,,,,,,
a856aece-3c89-4e2c-ae3b-3a587d3ea12b,CA0210000,,,,10/1/2020 00:58,18,No,12866,1,"1_Patrol, traffic enforcement, field operations",,,N Bridge Blvd,SAUSALITO,No,,,3_Hispanic/Latino(a),,1_Male,,No,35,Yes,8_None,,,,1_Traffic violation,Stopped for no light on license plate,2_Equipment violation,54110,,,,,,24_NONE,,,,,,,,,,1_None,,,2_Warning (verbal or written),24601,,,,,,,,,,,,,,,,,,,,,,,
be802dcd-4c04-415a-afda-7341304a7d1e,CA0210000,,,,10/1/2020 02:05,6,No,12866,1,"1_Patrol, traffic enforcement, field operations",,,Sb 101@ Marin City,MARIN CITY,No,,,3_Hispanic/Latino(a),,2_Female,,No,40,No,8_None,,,,1_Traffic violation,Stopped for excessive speed 77 in a 55,1_Moving violation,54303,,,,,,24_NONE,,,,,,,,,,1_None,,,2_Warning (verbal or written),22349(A),,,,,,,,,,,,,,,,,,,,,,,
fef72bd1-22fc-4394-b388-23ee28005baa,CA0210000,,,,10/1/2020 10:29,15,Yes,11207,17,"1_Patrol, traffic enforcement, field operations",,,100 Donahue street,MARIN CITY,No,,,2_Black/African American,,1_Male,,No,25,No,4_Mental health condition,8_None,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Contacted subject who was given a 602 advisement to stay out of the area. Letter on file from property owner. Subject had been driven to location by family member to buy food. Family member unaware of 602 advisement. ,,,,,NA - XX,1_Officer witnessed commission of a crime,2_Matched suspect description,4_Curbside detention,24_NONE,,,,,,,,,1_None,,,2_Warning (verbal or written),NA - XX,,,,,,,,,,,,,,,,,,,,,,,
efdcff6b-bfb5-4933-9674-19a647394c11,CA0210000,,,,10/1/2020 12:23,10,No,11207,17,"1_Patrol, traffic enforcement, field operations",,,100 shoreline hwy,MILL VALLEY,No,,,7_White,,2_Female,,No,35,No,8_None,,,,1_Traffic violation,Traffic stop for expired reg and texting while driving. ,1_Moving violation,54655,,,,,,24_NONE,,,,,,,,,,1_None,,,2_Warning (verbal or written),,,,,,,,,,,,,,,,,,,,,,,,
6d1d7a32-4b4b-41be-8445-5851f2830cd0,CA0210000,,,,10/1/2020 11:35,30,Yes,12019,41,"1_Patrol, traffic enforcement, field operations",,,Highway 101 / Freitas pkwy,SAN RAFAEL,No,,,2_Black/African American,,2_Female,,No,25,No,8_None,,,,1_Traffic violation,Speeding on hey 101,1_Moving violation,54134,,,,,,1_Per00n removed from vehicle by order,5_Handcuffed or flex cuffed,18_Search of per00n was conducted,24_NONE,,,,,,,1_None,,,5_Custodial arrest pursuant to outstanding warrant,,,,647(B),,,,,,,,,,,,,,,,,,,,
d932f69f-e3d5-4ed1-85b0-f18f3f9fcb95,CA0210000,,,,10/1/2020 15:50,30,No,11207,17,"1_Patrol, traffic enforcement, field operations",,,3000 bridge way ,SAUSALITO,No,,,3_Hispanic/Latino(a),,1_Male,,No,30,Yes,8_None,,,,1_Traffic violation,Traffic stop for exp registration,1_Moving violation,99999,,,,,,1_Per00n removed from vehicle by order,24_NONE,,,,,,,,,1_None,,,3_Citation for infraction,,NA - XX,,,,,,,,,,,,,,,,,,,,,,
e776f5a2-702c-4a18-9bf2-91cd8be8a927,CA0210000,,,,10/1/2020 16:03,30,Yes,11585,18,"1_Patrol, traffic enforcement, field operations",,,300 drake ave,MARIN CITY,No,,,2_Black/African American,2_Black/African American,1_Male,,No,23,No,8_None,,,,4_Knowledge of outstanding arrest warrant/wanted per00n,Responded for flag down of parking complaint.  The owner of illegal vehicle was known to have a warrant for his arrest. ,,,,,,,,"5_Handcuffed or flex cuffed, 18_Search of per00n conducted",20_Search of property was conducted,18_Search of per00n was conducted,24_NONE,,,,,,,1_None,,,5_Custodial arrest pursuant to outstanding warrant,,,,853.8,,,,,,,,,,,,,,,,,,,,
0cbdf7f3-7c3f-4ac1-99bb-52069bfdfc51,CA0210000,,,,10/1/2020 16:30,15,No,11585,18,6_Narcotics/vice,,,300 drake ave,MARIN CITY,No,,,2_Black/African American,2_Black/African American,1_Male,,No,20,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Subject was contacted for strong odor of marijuana in vehicle and has 4th amendment search terms.  ,,,,,11359,9_Other rea00nable suspicion of a crime,9_Other rea00nable suspicion of a crime,"4_Curbside detention, 18_Search of per00n conducted, 20_search of property conducted ",18_Search of per00n was conducted,20_Search of property was conducted,24_NONE,,,,,,,1_None,1_None,,2_Warning (verbal or written),11359,,,,,,,,,,,,,,,,,,,,,,,
