date,time,race,race perceived prior,type,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
2020-10-01,1900-01-01 22:26:00,hispanic/latino,False,Non-moving violation / including registration,1600 block of Cedar St,18:50:54,19:17:35,1131.0,1158.0,1346.0,-188.0,0,1
2020-10-01,1900-01-01 23:18:00,black/african american,False,Moving Violation,700 block of Carleton St,18:50:54,19:17:35,1131.0,1158.0,1398.0,-240.0,0,1
2020-10-03,1900-01-01 15:17:00,white,True,Moving Violation,2000 block San Pablo Ave,18:47:52,19:14:34,1128.0,1155.0,917.0,238.0,0,0
2020-10-04,1900-01-01 21:07:00,black/african american,False,Moving Violation,2200 block of Bancroft Way,18:46:22,19:13:04,1126.0,1153.0,1267.0,-114.0,1,1
2020-10-04,1900-01-01 20:15:00,white,True,Equipment Violation,Shattuck/Kitteredge.,18:46:22,19:13:04,1126.0,1153.0,1215.0,-62.0,1,1
2020-10-04,1900-01-01 20:00:00,black/african american,False,Non-moving violation / including registration,2100 block of Milvia St,18:46:22,19:13:04,1126.0,1153.0,1200.0,-47.0,1,1
2020-10-04,1900-01-01 20:15:00,white,True,Equipment Violation,Shattuck/Kitteredge.,18:46:22,19:13:04,1126.0,1153.0,1215.0,-62.0,1,1
2020-10-04,1900-01-01 19:33:00,black/african american,False,Equipment Violation,1000 block of Bancroft Way,18:46:22,19:13:04,1126.0,1153.0,1173.0,-20.0,1,1
2020-10-04,1900-01-01 23:44:00,hispanic/latino,False,Moving Violation,1800 block of 4th St,18:46:22,19:13:04,1126.0,1153.0,1424.0,-271.0,0,1
2020-10-04,1900-01-01 23:30:00,asian,False,Moving Violation,Sacramento and Allston.,18:46:22,19:13:04,1126.0,1153.0,1410.0,-257.0,0,1
2020-10-05,1900-01-01 23:01:00,hispanic/latino,False,Moving Violation,Piedmont Ave. and Dwight Way,18:44:52,19:11:35,1125.0,1152.0,1381.0,-229.0,0,1
2020-10-05,1900-01-01 22:42:00,black/african american,True,Moving Violation,6000 block of Lowell St,18:44:52,19:11:35,1125.0,1152.0,1362.0,-210.0,0,1
