date,time,race,type,location
1/1/20,12:55:22,white,1 Moving,I 80 W
1/1/20,14:58:16,hispanic/latino(a),3 Non-Moving,F ST
1/1/20,23:37:16,white,2 Equipment,LAKE BL
1/1/20,23:01:05,hispanic/latino(a),2 Equipment,RUSSELL BL
1/1/20,22:45:10,hispanic/latino(a),3 Non-Moving,LAKE BL
1/2/20,12:18:35,black/african american,3 Non-Moving,J ST
1/2/20,23:58:40,white,1 Moving,SYCAMORE LN
1/2/20,21:56:30,black/african american,3 Non-Moving,E 8TH ST
1/2/20,22:38:13,hispanic/latino(a),1 Moving,W COVELL BL
1/3/20,18:01:27,white,2 Equipment,BIRCH LN
1/3/20,22:34:44,white,1 Moving,RUSSELL BL
1/3/20,17:32:30,hispanic/latino(a),2 Equipment,MACE BL
1/3/20,17:51:40,hispanic/latino(a),1 Moving,HWY 113
1/4/20,21:34:17,white,2 Equipment,LAKE BL
1/4/20,21:25:09,hispanic/latino(a),1 Moving,D ST
1/4/20,22:14:17,white,1 Moving,RUSSELL BL
1/4/20,22:25:34,white,1 Moving,UNIVERSITY AV
1/4/20,22:41:46,white,1 Moving,MACE BL
1/4/20,20:14:24,white,2 Equipment,COWELL BL
1/5/20,15:20:42,asian,1 Moving,ALHAMBRA DR
1/5/20,03:23:41,white,2 Equipment,ANTIOCH DR
1/5/20,03:29:33,asian,1 Moving,RUSSELL BL
1/5/20,21:59:13,hispanic/latino(a),2 Equipment,E 8TH ST
1/5/20,23:51:24,black/african american,2 Equipment,MACE BL
1/6/20,17:15:42,asian,1 Moving,3RD ST
1/6/20,11:25:25,middle eastern or south asian,2 Equipment,RESEARCH PARK DR
1/6/20,22:44:43,white,1 Moving,CHILES RD
1/6/20,04:57:29,hispanic/latino(a),1 Moving,I 80 W
1/6/20,13:15:11,black/african american,1 Moving,COWELL BL
1/6/20,23:51:17,asian,3 Non-Moving,RUSSELL BL
1/6/20,10:40:22,white,1 Moving,W COVELL BL
1/6/20,18:54:52,asian,1 Moving,5TH ST
1/7/20,18:15:31,hispanic/latino(a),1 Moving,2ND ST
1/7/20,22:46:29,hispanic/latino(a),2 Equipment,CHILES RD
1/7/20,20:54:48,white,2 Equipment,MACE BL
1/7/20,21:43:11,white,3 Non-Moving,COWELL BL
1/7/20,22:18:39,black/african american,3 Non-Moving,I 80 E
1/7/20,22:16:23,black/african american,2 Equipment,G ST
1/7/20,23:07:43,black/african american,1 Moving,OHLONE ST
1/7/20,20:22:20,hispanic/latino(a),2 Equipment,I 80 E
1/7/20,16:37:07,hispanic/latino(a),2 Equipment,E COVELL BL
1/7/20,19:51:49,white,2 Equipment,W COVELL BL
1/7/20,22:18:39,black/african american,3 Non-Moving,I 80 E
1/7/20,10:37:15,asian,1 Moving,LILLARD DR
1/7/20,23:02:03,asian,2 Equipment,POLE LINE RD
1/8/20,01:00:15,middle eastern or south asian,2 Equipment,POLE LINE RD
1/8/20,19:08:33,asian,3 Non-Moving,RESEARCH PARK DR
1/8/20,22:27:37,black/african american,2 Equipment,COWELL BL
1/8/20,22:26:11,hispanic/latino(a),2 Equipment,5TH ST
1/8/20,19:02:45,white,1 Moving,ANDERSON RD
1/8/20,22:19:21,white,3 Non-Moving,MACE BL
1/8/20,23:54:33,white,3 Non-Moving,RESEARCH PARK DR
1/8/20,01:05:01,white,1 Moving,RESEARCH PARK DR
1/8/20,22:51:58,hispanic/latino(a),2 Equipment,CHILES RD
1/9/20,00:26:16,hispanic/latino(a),3 Non-Moving,RESEARCH PARK DR
