,date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
0,2020-09-30 22:30:00,1900-01-01 22:30:00,hispanic/latino(a),2_Equipment violation,,0.0,2000 sir Francis drake Blvd ,18:54:19,19:21:04,1134.0,1161.0,1350.0,-189.0,0,1
5,2020-10-01 15:50:00,1900-01-01 15:50:00,hispanic/latino(a),1_Moving violation,,17.0,3000 bridge way ,18:52:47,19:19:32,1133.0,1160.0,950.0,210.0,0,0
6,2020-10-01 20:44:00,1900-01-01 20:44:00,white,2_Equipment violation,,1.0,500 redwood frontage,18:52:47,19:19:32,1133.0,1160.0,1244.0,-84.0,1,1
7,2020-10-01 20:58:00,1900-01-01 20:58:00,white,2_Equipment violation,,3.0,SB 101 at N San Pedro,18:52:47,19:19:32,1133.0,1160.0,1258.0,-98.0,1,1
8,2020-10-01 22:03:00,1900-01-01 22:03:00,black/african american,,,14.0,Gate 6 Rd at bridgeway ,18:52:47,19:19:32,1133.0,1160.0,1323.0,-163.0,0,1
9,2020-10-02 22:04:00,1900-01-01 22:04:00,middle eastern or south asian,1_Moving violation,,5.0,00uth bound 101 at Marin city,18:51:15,19:18:01,1131.0,1158.0,1324.0,-166.0,0,1
12,2020-10-01 22:40:00,1900-01-01 22:40:00,white,,,0.0,10 Lucky Drive,18:52:47,19:19:32,1133.0,1160.0,1360.0,-200.0,0,1
17,2020-10-02 16:56:00,1900-01-01 16:56:00,white,1_Moving violation,,15.0,Redwood hwy frontage rd/Belvedere dr ,18:51:15,19:18:01,1131.0,1158.0,1016.0,142.0,0,0
18,2020-10-02 21:30:00,1900-01-01 21:30:00,white,1_Moving violation,,5.0,Los Ranchitos rd @ circle rd,18:51:15,19:18:01,1131.0,1158.0,1290.0,-132.0,0,1
21,2020-10-03 21:38:00,1900-01-01 21:38:00,white,1_Moving violation,,11.0,Highway 101 @ Lincoln ,18:49:44,19:16:30,1130.0,1156.0,1298.0,-142.0,0,1
22,2020-10-03 23:38:00,1900-01-01 23:38:00,white,1_Moving violation,,13.0,CMD @NB 101 Paradise,18:49:44,19:16:30,1130.0,1156.0,1418.0,-262.0,0,1
23,2020-10-03 22:52:00,1900-01-01 22:52:00,white,2_Equipment violation,,13.0,500 Redwood Hwy Frontage,18:49:44,19:16:30,1130.0,1156.0,1372.0,-216.0,0,1
24,2020-10-03 23:34:00,1900-01-01 23:34:00,white,1_Moving violation,,3.0,NB Hwy 101 at Rowland,18:49:44,19:16:30,1130.0,1156.0,1414.0,-258.0,0,1
25,2020-10-03 23:28:00,1900-01-01 23:28:00,hispanic/latino(a),1_Moving violation,,13.0,NB 101 @ shoreline ,18:49:44,19:16:30,1130.0,1156.0,1408.0,-252.0,0,1
26,2020-10-03 23:35:00,1900-01-01 23:35:00,black/african american,2_Equipment violation,,3.0,Sb 101 at Central San Rafael,18:49:44,19:16:30,1130.0,1156.0,1415.0,-259.0,0,1
27,2020-10-03 23:35:00,1900-01-01 23:35:00,black/african american,2_Equipment violation,,3.0,SB 101 at Central San Rafael,18:49:44,19:16:30,1130.0,1156.0,1415.0,-259.0,0,1
30,2020-10-03 23:21:00,1900-01-01 23:21:00,white,1_Moving violation,,1.0,Spencer ave at Hwy 101,18:49:44,19:16:30,1130.0,1156.0,1401.0,-245.0,0,1
35,2020-10-04 21:39:00,1900-01-01 21:39:00,white,2_Equipment violation,,3.0,EB Hwy 37 @ Atherton,18:48:13,19:15:00,1128.0,1155.0,1299.0,-144.0,0,1
36,2020-10-04 22:03:00,1900-01-01 22:03:00,black/african american,2_Equipment violation,,3.0,200 E Sir Francis Drake Blvd,18:48:13,19:15:00,1128.0,1155.0,1323.0,-168.0,0,1
37,2020-10-04 23:14:00,1900-01-01 23:14:00,white,2_Equipment violation,,11.0,30 Shoreline HWY,18:48:13,19:15:00,1128.0,1155.0,1394.0,-239.0,0,1
38,2020-10-04 22:42:00,1900-01-01 22:42:00,hispanic/latino(a),,,3.0,Sir Francis Drake Blvd at Wolfe Grade,18:48:13,19:15:00,1128.0,1155.0,1362.0,-207.0,0,1
42,2020-10-04 15:37:00,1900-01-01 15:37:00,white,,,,Shoreline Hwy/Laurel Way,18:48:13,19:15:00,1128.0,1155.0,937.0,218.0,0,0
45,2020-10-02 22:20:00,1900-01-01 22:20:00,black/african american,2_Equipment violation,,0.0,Sir Francis Drake BLVD/Larkspur Lansing Cir,18:51:15,19:18:01,1131.0,1158.0,1340.0,-182.0,0,1
46,2020-10-05 21:10:00,1900-01-01 21:10:00,white,,,2.0,1600 Los Gamos,18:46:42,19:13:30,1127.0,1154.0,1270.0,-116.0,1,1
49,2020-10-05 23:30:00,1900-01-01 23:30:00,white,,,0.0,8000 Binford Road,18:46:42,19:13:30,1127.0,1154.0,1410.0,-256.0,0,1
