date,time,race,race perceived prior,type,Experience,location
6/18/22,22:16:00,Black/African American,No,Moving violation,,20X
4/20/22,16:10:00,Black/African American,Yes,Moving violation,,32X
4/20/22,16:25:00,Black/African American,Yes,Moving violation,,32X
4/20/22,16:41:00,Black/African American,Yes,Moving violation,,32X
5/13/22,8:18:00,Asian,No,Moving violation,,14X
5/13/22,9:20:00,White,Yes,Moving violation,,14X
5/13/22,10:52:00,Middle Eastern or South Asian,No,Moving violation,,14X
5/13/22,7:51:00,Hispanic/Latino(a),No,Moving violation,,08X
5/13/22,8:50:00,Middle Eastern or South Asian,No,Moving violation,,14X
5/13/22,10:00:00,White,No,Moving violation,,14X
5/13/22,10:27:00,Black/African American,No,Moving violation,,14X
6/18/22,23:55:00,White,No,Moving violation,,14X
5/13/22,7:21:00,Hispanic/Latino(a),Yes,Moving violation,,09X
4/15/22,11:12:00,Asian,Yes,Moving violation,,03X
5/23/22,16:30:00,Black/African American,No,Moving violation,,19X
5/13/22,9:50:00,Black/African American,Yes,Moving violation,,09X
5/13/22,8:04:00,Black/African American,Yes,Moving violation,,09X
5/13/22,8:48:00,White,Yes,Moving violation,,09X
5/13/22,8:35:00,Black/African American,Yes,Moving violation,,09X
5/13/22,7:36:00,White,Yes,Moving violation,,09X
5/13/22,7:56:00,Black/African American,Yes,Moving violation,,09X
5/13/22,8:23:00,White,Yes,Moving violation,,09X
5/13/22,9:14:00,Asian,Yes,Moving violation,,09X
5/13/22,7:29:00,Hispanic/Latino(a),No,Moving violation,,09X
6/19/22,9:46:00,Hispanic/Latino(a),No,Moving violation,,08X
4/23/22,12:06:00,Black/African American,No,Moving violation,,12X
4/15/22,11:43:00,Hispanic/Latino(a),No,Moving violation,,04X
4/9/22,5:10:00,White,No,Moving violation,,31X
5/15/22,19:08:00,Hispanic/Latino(a),No,Moving violation,,31X
5/15/22,19:08:00,Black/African American,No,Moving violation,,31X
6/28/22,18:18:00,Hispanic/Latino(a),No,Moving violation,,31X
5/23/22,16:43:00,Hispanic/Latino(a),No,Moving violation,,19X
5/23/22,16:14:00,White,No,Moving violation,,19X
6/10/22,9:44:00,Black/African American,No,Moving violation,,01X
4/15/22,10:23:00,White,No,Moving violation,,01X
4/15/22,8:13:00,White,No,Moving violation,,01X
4/15/22,9:20:00,Hispanic/Latino(a),No,Moving violation,,01X
6/9/22,13:43:00,White,No,Moving violation,,01X
4/15/22,8:07:00,White,No,Moving violation,,03X
4/15/22,10:15:00,Black/African American,No,Moving violation,,04X
4/15/22,11:20:00,Middle Eastern or South Asian,No,Moving violation,,04X
5/18/22,0:20:00,White,No,Moving violation,,14X
4/15/22,8:50:00,White,No,Moving violation,,04X
4/15/22,9:22:00,Black/African American,No,Moving violation,,04X
5/13/22,8:10:00,Black/African American,No,Moving violation,,09X
5/13/22,8:25:00,White,No,"Non-moving violation, including registration",,11X
5/13/22,7:35:00,Black/African American,No,Moving violation,,12X
5/13/22,7:50:00,Asian,No,Moving violation,,11X
5/13/22,9:05:00,Black/African American,No,"Non-moving violation, including registration",,11X
5/13/22,7:25:00,White,No,Moving violation,,11X
4/22/22,8:15:00,Black/African American,No,Moving violation,,26X
6/19/22,0:20:00,Hispanic/Latino(a),No,Moving violation,,19X
5/15/22,21:15:00,MultiRacial,No,Moving violation,,14X
5/28/22,15:41:00,Black/African American,No,Moving violation,,14Y
6/5/22,15:41:00,Asian,Yes,"Non-moving violation, including registration",,14Y
4/15/22,9:57:00,Asian,No,Moving violation,,01X
4/15/22,12:28:00,White,No,Moving violation,,01X
4/15/22,11:06:00,Black/African American,No,Moving violation,,01X
4/15/22,11:42:00,White,No,Moving violation,,01X
4/21/22,16:27:00,Black/African American,No,Moving violation,,03Y
5/14/22,8:06:00,Middle Eastern or South Asian,No,Moving violation,,03Y
4/1/22,22:07:00,Black/African American,No,Moving violation,,31X
4/1/22,22:07:00,Black/African American,No,Moving violation,,31X
4/1/22,22:07:00,Hispanic/Latino(a),No,Moving violation,,31X
6/17/22,13:42:00,Hispanic/Latino(a),Yes,Moving violation,,26X
4/25/22,23:26:00,Asian,No,Moving violation,,03X
4/15/22,7:52:00,White,Yes,Moving violation,,04X
4/15/22,8:12:00,Middle Eastern or South Asian,Yes,Moving violation,,05X
