date,time,race,race perceived prior,type,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark,neighborhood,zip,coords,gmap address
2021-05-15,1900-01-01 20:41:00,white,False,Moving Violation,0  bolivar dr,20:12:28,20:42:36,1212.0,1243.0,1241.0,2.0,1,0,Bolivar Drive,94710,"37.8662723, -122.3026142","0 Bolivar Dr, Berkeley, CA 94710, USA"
2021-01-22,1900-01-01 19:52:00,hispanic/latino,False,Moving Violation,100  marina blvd,17:21:35,17:50:25,1042.0,1070.0,1192.0,-122.0,1,1,Marina Boulevard,94123,"37.8101456, -122.4348456","100-198 Marina Blvd, San Francisco, CA 94123, USA"
2021-02-17,1900-01-01 17:27:00,white,False,Moving Violation,100  the uplands,17:50:24,18:17:42,1070.0,1098.0,1047.0,51.0,1,0,The Uplands,94705,"37.8537091, -122.244059","100 The Uplands, Berkeley, CA 94705, USA"
2022-05-07,1900-01-01 20:55:00,white,False,Equipment Violation,100  tunnel rd,20:05:09,20:34:34,1205.0,1235.0,1255.0,-20.0,1,1,Tunnel Road,2829,"37.855906, -122.2408829","100 Tunnel Rd, Berkeley, CA 94705, USA"
2022-01-30,1900-01-01 20:15:00,hispanic/latino,False,Moving Violation,1000  61st st,17:30:15,17:58:35,1050.0,1079.0,1215.0,-136.0,1,1,61st Street,94608,"37.8447499, -122.2797619","1000 61st St, Oakland, CA 94608, USA"
2021-03-28,1900-01-01 19:56:00,white,False,Moving Violation,1000  ashby ave,19:28:32,19:55:26,1169.0,1195.0,1196.0,-1.0,1,1,Ashby Avenue,2808,"37.8514807, -122.2891801","1000 Ashby Ave, Berkeley, CA 94710, USA"
2020-10-23,1900-01-01 20:51:00,black/african american,False,Equipment Violation,1000  ashby ave,18:19:48,18:47:06,1100.0,1127.0,1251.0,-124.0,1,1,Ashby Avenue,2808,"37.8514807, -122.2891801","1000 Ashby Ave, Berkeley, CA 94710, USA"
2022-02-17,1900-01-01 19:25:00,black/african american,False,Moving Violation,1000  ashby ave,17:50:08,18:17:27,1070.0,1097.0,1165.0,-68.0,1,1,Ashby Avenue,2808,"37.8514807, -122.2891801","1000 Ashby Ave, Berkeley, CA 94710, USA"
2022-02-17,1900-01-01 19:42:00,white,False,Moving Violation,1000  ashby ave,17:50:08,18:17:27,1070.0,1097.0,1182.0,-85.0,1,1,Ashby Avenue,2808,"37.8514807, -122.2891801","1000 Ashby Ave, Berkeley, CA 94710, USA"
2021-01-17,1900-01-01 19:19:00,black/african american,False,Moving Violation,1000  bancroft way,17:16:09,17:45:17,1036.0,1065.0,1159.0,-94.0,1,1,Bancroft Way,2330,"37.8641886, -122.2929053","1000 Bancroft Way, Berkeley, CA 94710, USA"
2020-10-04,1900-01-01 19:33:00,black/african american,False,Equipment Violation,1000  bancroft way,18:46:22,19:13:04,1126.0,1153.0,1173.0,-20.0,1,1,Bancroft Way,2330,"37.8641886, -122.2929053","1000 Bancroft Way, Berkeley, CA 94710, USA"
2021-09-14,1900-01-01 18:20:00,white,False,Moving Violation,1000  camelia st,19:17:41,19:44:31,1158.0,1185.0,1100.0,85.0,1,0,Camelia Street,1514,"37.8782391, -122.2970651","1000 Camelia St, Berkeley, CA 94710, USA"
2020-10-16,1900-01-01 20:00:00,asian,False,Moving Violation,1000  channing way,18:29:01,18:56:02,1109.0,1136.0,1200.0,-64.0,1,1,Channing Way,2332,"37.8622965, -122.2920817","1000 Channing Way, Berkeley, CA 94710, USA"
2022-03-23,1900-01-01 19:24:00,white,False,Non-moving violation / including registration,1000  channing way,19:23:42,19:50:29,1164.0,1190.0,1164.0,26.0,1,0,Channing Way,2332,"37.8622965, -122.2920817","1000 Channing Way, Berkeley, CA 94710, USA"
2021-07-11,1900-01-01 20:37:00,white,False,Moving Violation,1000  delaware st,20:32:19,21:03:36,1232.0,1264.0,1237.0,27.0,1,0,Delaware Street,2111,"37.8710756, -122.2950053","1000 Delaware St, Berkeley, CA 94710, USA"
2021-04-16,1900-01-01 20:54:00,white,False,Moving Violation,1000  dwight wy,19:46:00,20:13:48,1186.0,1214.0,1254.0,-40.0,1,1,Dwight Way,94710,"37.8605259, -122.2914836","1000 Dwight Way, Berkeley, CA 94710, USA"
2022-02-13,1900-01-01 20:53:00,asian,False,Moving Violation,1000  eastshore hwy,17:45:49,18:13:20,1066.0,1093.0,1253.0,-160.0,1,1,Eastshore Highway,94710,"37.8871007, -122.3075118","1000 Eastshore Hwy, Albany, CA 94710, USA"
2020-11-27,1900-01-01 19:26:00,hispanic/latino,False,Equipment Violation,1000  gilman st,16:50:45,17:20:05,1011.0,1040.0,1166.0,-126.0,1,1,Gilman Street,94710,"37.8798933, -122.2976792","1000 Gilman St, Berkeley, CA 94710, USA"
2021-04-23,1900-01-01 17:46:00,white,False,Equipment Violation,1000  harrison st,19:52:29,20:20:46,1192.0,1221.0,1066.0,155.0,1,0,Harrison Street,4520,"37.777274, -122.4046496","1000 Harrison St, San Francisco, CA 94103, USA"
2021-12-17,1900-01-01 18:31:00,black/african american,False,Moving Violation,1000  harrison st,16:51:34,17:21:36,1012.0,1042.0,1111.0,-69.0,1,1,Harrison Street,4520,"37.777274, -122.4046496","1000 Harrison St, San Francisco, CA 94103, USA"
2021-01-03,1900-01-01 21:07:00,white,False,Equipment Violation,1000  harrison st,17:02:31,17:32:19,1023.0,1052.0,1267.0,-215.0,1,1,Harrison Street,4520,"37.777274, -122.4046496","1000 Harrison St, San Francisco, CA 94103, USA"
2021-09-21,1900-01-01 17:31:00,white,True,Moving Violation,1000  hearst ave,19:06:45,19:33:27,1147.0,1173.0,1051.0,122.0,1,0,Hearst Avenue,94710,"37.869821, -122.2946066","1000 Hearst Ave, Berkeley, CA 94710, USA"
2020-12-24,1900-01-01 19:09:00,mixed,False,Moving Violation,1000  key route blvd,16:55:09,17:25:11,1015.0,1045.0,1149.0,-104.0,1,1,Key Route Boulevard,2322,"37.88782640000001, -122.29206","1000 Key Rte Blvd, Albany, CA 94706, USA"
2022-08-27,1900-01-01 17:35:00,white,False,Moving Violation,1000  marin ave,19:45:16,20:12:53,1185.0,1213.0,1055.0,158.0,1,0,Marin Avenue,2255,"37.887531, -122.2998259","1000 Marin Ave, Albany, CA 94706, USA"
2022-09-03,1900-01-01 20:57:00,black/african american,False,Moving Violation,1000  university ave,19:34:57,20:02:12,1175.0,1202.0,1257.0,-55.0,1,1,University Avenue,2114,"37.8684938, -122.2941415","1000 University Ave, Berkeley, CA 94710, USA"
2020-10-17,1900-01-01 19:53:00,middle eastern/south asian,False,Moving Violation,1000  university ave,18:27:39,18:54:42,1108.0,1135.0,1193.0,-58.0,1,1,University Avenue,2114,"37.8684938, -122.2941415","1000 University Ave, Berkeley, CA 94710, USA"
2021-02-26,1900-01-01 18:41:00,black/african american,True,Moving Violation,1000  university ave,17:59:47,18:26:45,1080.0,1107.0,1121.0,-14.0,1,1,University Avenue,2114,"37.8684938, -122.2941415","1000 University Ave, Berkeley, CA 94710, USA"
2020-12-12,1900-01-01 19:51:00,hispanic/latino,False,Moving Violation,1000  university ave,16:50:08,17:20:05,1010.0,1040.0,1191.0,-151.0,1,1,University Avenue,2114,"37.8684938, -122.2941415","1000 University Ave, Berkeley, CA 94710, USA"
2021-01-23,1900-01-01 20:04:00,white,False,Equipment Violation,1000  university ave,17:22:42,17:51:27,1043.0,1071.0,1204.0,-133.0,1,1,University Avenue,2114,"37.8684938, -122.2941415","1000 University Ave, Berkeley, CA 94710, USA"
2022-01-25,1900-01-01 18:36:00,black/african american,False,Moving Violation,1000  university ave,17:24:39,17:53:18,1045.0,1073.0,1116.0,-43.0,1,1,University Avenue,2114,"37.8684938, -122.2941415","1000 University Ave, Berkeley, CA 94710, USA"
2021-03-06,1900-01-01 20:49:00,hispanic/latino,False,Moving Violation,1000  university ave,18:07:47,18:34:33,1088.0,1115.0,1249.0,-134.0,1,1,University Avenue,2114,"37.8684938, -122.2941415","1000 University Ave, Berkeley, CA 94710, USA"
2020-11-03,1900-01-01 20:58:00,black/african american,False,Moving Violation,1000  university ave,17:07:10,17:35:03,1027.0,1055.0,1258.0,-203.0,1,1,University Avenue,2114,"37.8684938, -122.2941415","1000 University Ave, Berkeley, CA 94710, USA"
2020-12-13,1900-01-01 20:00:00,middle eastern/south asian,False,Moving Violation,1000  virginia st,16:50:23,17:20:21,1010.0,1040.0,1200.0,-160.0,1,1,Virginia Street,1833,"37.8728475, -122.2955369","1000 Virginia St, Berkeley, CA 94710, USA"
2021-04-22,1900-01-01 20:27:00,black/african american,False,Moving Violation,1100  59th st,19:51:33,20:19:46,1192.0,1220.0,1227.0,-7.0,1,1,59th Street,94608,"37.8426521, -122.2839323","1100 59th St, Oakland, CA 94608, USA"
2020-12-30,1900-01-01 18:49:00,asian,True,Moving Violation,1100  67th st,16:59:16,17:29:12,1019.0,1049.0,1129.0,-80.0,1,1,67th Street,94710,"37.8502671, -122.2879592","1100 67th St, Berkeley, CA 94710, USA"
2022-09-24,1900-01-01 20:21:00,black/african american,False,Non-moving violation / including registration,1100  allston way,19:02:27,19:29:07,1142.0,1169.0,1221.0,-52.0,1,1,Allston Way,94702,"37.8664039, -122.2912013","1100 Allston Way, Berkeley, CA 94702, USA"
2021-05-02,1900-01-01 20:04:00,white,False,Moving Violation,1100  bancroft way,20:00:48,20:29:49,1201.0,1230.0,1204.0,26.0,1,0,Bancroft Way,94710,"37.8642865, -122.2909299","1100 Bancroft Way, Berkeley, CA 94710, USA"
2021-01-26,1900-01-01 19:36:00,white,False,Moving Violation,1100  channing way,17:26:02,17:54:36,1046.0,1075.0,1176.0,-101.0,1,1,Channing Way,2348,"37.8627279, -122.2902747","1100 Channing Way, Berkeley, CA 94710, USA"
2022-04-01,1900-01-01 20:41:00,asian,False,Equipment Violation,1100  delaware st,19:31:59,19:59:01,1172.0,1199.0,1241.0,-42.0,1,1,Delaware Street,94702,"37.8716935, -122.2929202","1100 Delaware St, Berkeley, CA 94702, USA"
2020-10-13,1900-01-01 19:53:00,white,False,Non-moving violation / including registration,1100  dwight way,18:33:12,19:00:07,1113.0,1140.0,1193.0,-53.0,1,1,Dwight Way,2538,"37.8609603, -122.2897164","1100 Dwight Way, Berkeley, CA 94710, USA"
2022-08-07,1900-01-01 19:53:00,white,False,Moving Violation,1100  euclid ave,20:11:11,20:40:17,1211.0,1240.0,1193.0,47.0,1,0,Euclid Avenue,94708,"37.8889582, -122.2621759","1100 Euclid Ave, Berkeley, CA 94708, USA"
2022-04-04,1900-01-01 18:25:00,hispanic/latino,False,Non-moving violation / including registration,1100  gilman st,19:34:44,20:01:53,1175.0,1202.0,1105.0,97.0,1,0,Gilman Street,94706,"37.8804554, -122.2954654","1100 Gilman St, Berkeley, CA 94706, USA"
2021-04-02,1900-01-01 20:13:00,hispanic/latino,True,Moving Violation,1100  hearst ave,19:33:08,20:00:12,1173.0,1200.0,1213.0,-13.0,1,1,Hearst Avenue,94710,"37.8704136, -122.2926371","1100 Hearst Ave, Berkeley, CA 94710, USA"
2021-03-12,1900-01-01 19:25:00,white,False,Moving Violation,1100  hopkins st,18:13:35,18:40:18,1094.0,1120.0,1165.0,-45.0,1,1,Hopkins Street,94702,"37.87528450000001, -122.2938331","1100 Hopkins St, Berkeley, CA 94702, USA"
2021-10-01,1900-01-01 17:47:00,white,False,Moving Violation,1100  oregon st,18:51:16,19:17:57,1131.0,1158.0,1067.0,91.0,1,0,Oregon Street,2220,"37.85493, -122.2874909","1100 Oregon St, Berkeley, CA 94702, USA"
2021-11-18,1900-01-01 19:44:00,white,True,Moving Violation,1100  oxford st,16:54:59,17:23:47,1015.0,1044.0,1184.0,-140.0,1,1,Oxford Street,2624,"37.8888056, -122.267703","1100 Oxford St, Berkeley, CA 94707, USA"
2020-12-06,1900-01-01 18:25:00,hispanic/latino,False,Moving Violation,1100  san pablo ave,16:49:26,17:19:12,1009.0,1039.0,1105.0,-66.0,1,1,San Pablo Avenue,94706,"37.8839103, -122.2973751","1100 San Pablo Ave, Albany, CA 94706, USA"
2021-08-27,1900-01-01 19:25:00,hispanic/latino,False,Equipment Violation,1100  san pablo ave,19:44:55,20:12:31,1185.0,1213.0,1165.0,48.0,1,0,San Pablo Avenue,94706,"37.8839103, -122.2973751","1100 San Pablo Ave, Albany, CA 94706, USA"
2021-03-23,1900-01-01 17:50:00,white,False,Moving Violation,1100  university ave,19:23:55,19:50:42,1164.0,1191.0,1070.0,121.0,1,0,University Avenue,94702,"37.868915, -122.2918833","1100 University Ave, Berkeley, CA 94702, USA"
