date,time,race,race perceived prior,type,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
2020-10-01,1900-01-01 11:14:00,hispanic/latino,True,Moving Violation,2900 block of Shattuck Ave,18:50:54,19:17:35,1131.0,1158.0,674.0,484.0,0,0
2020-10-01,1900-01-01 10:15:00,white,True,Moving Violation,College and Ashby,18:50:54,19:17:35,1131.0,1158.0,615.0,543.0,0,0
2020-10-01,1900-01-01 09:46:00,white,True,Moving Violation,2600 block of Alcatraz Ave,18:50:54,19:17:35,1131.0,1158.0,586.0,572.0,0,0
2020-10-01,1900-01-01 22:26:00,hispanic/latino,False,Non-moving violation / including registration,1600 block of Cedar St,18:50:54,19:17:35,1131.0,1158.0,1346.0,-188.0,0,1
2020-10-01,1900-01-01 23:18:00,black/african american,False,Moving Violation,700 block of Carleton St,18:50:54,19:17:35,1131.0,1158.0,1398.0,-240.0,0,1
2020-10-01,1900-01-01 09:49:00,middle eastern/south asian,True,Moving Violation,2800 block of College Ave,18:50:54,19:17:35,1131.0,1158.0,589.0,569.0,0,0
2020-10-01,1900-01-01 05:05:00,white,True,Equipment Violation,3100 block Mabel St,18:50:54,19:17:35,1131.0,1158.0,305.0,853.0,0,0
2020-10-01,1900-01-01 07:35:00,white,False,Moving Violation,University Ave and San Pablo Ave,18:50:54,19:17:35,1131.0,1158.0,455.0,703.0,0,0
2020-10-01,1900-01-01 07:19:00,white,False,Moving Violation,10th St and University Ave,18:50:54,19:17:35,1131.0,1158.0,439.0,719.0,0,0
2020-10-01,1900-01-01 09:30:00,asian,True,Moving Violation,3000 block of College Ave,18:50:54,19:17:35,1131.0,1158.0,570.0,588.0,0,0
2020-10-01,1900-01-01 09:01:00,white,True,Moving Violation,2800 block of College Ave,18:50:54,19:17:35,1131.0,1158.0,541.0,617.0,0,0
2020-10-01,1900-01-01 09:34:00,asian,True,Moving Violation,2800 block of College Ave,18:50:54,19:17:35,1131.0,1158.0,574.0,584.0,0,0
2020-10-01,1900-01-01 08:56:00,white,True,Moving Violation,2700 block of Russell St,18:50:54,19:17:35,1131.0,1158.0,536.0,622.0,0,0
2020-10-01,1900-01-01 08:56:00,white,True,Moving Violation,2700 block of Russell St,18:50:54,19:17:35,1131.0,1158.0,536.0,622.0,0,0
2020-10-02,1900-01-01 09:02:00,hispanic/latino,False,Moving Violation,3000 block of 7th St,18:49:23,19:16:04,1129.0,1156.0,542.0,614.0,0,0
2020-10-02,1900-01-01 10:27:00,black/african american,False,Moving Violation,I 80 on ramp at Ashby ave,18:49:23,19:16:04,1129.0,1156.0,627.0,529.0,0,0
2020-10-02,1900-01-01 11:22:00,white,False,Equipment Violation,900 block of Folger Ave,18:49:23,19:16:04,1129.0,1156.0,682.0,474.0,0,0
2020-10-02,1900-01-01 13:06:00,hispanic/latino,False,Moving Violation,Cowper and Byron,18:49:23,19:16:04,1129.0,1156.0,786.0,370.0,0,0
2020-10-02,1900-01-01 00:38:00,asian,False,Equipment Violation,1200 block of University Ave,18:49:23,19:16:04,1129.0,1156.0,38.0,1118.0,0,0
2020-10-02,1900-01-01 10:05:00,black/african american,True,Moving Violation,University Ave at I-580,18:49:23,19:16:04,1129.0,1156.0,605.0,551.0,0,0
2020-10-03,1900-01-01 14:57:00,white,False,Non-moving violation / including registration,2000 block of Oregon St,18:47:52,19:14:34,1128.0,1155.0,897.0,258.0,0,0
2020-10-03,1900-01-01 15:17:00,white,True,Moving Violation,2000 block San Pablo Ave,18:47:52,19:14:34,1128.0,1155.0,917.0,238.0,0,0
2020-10-03,1900-01-01 10:36:00,black/african american,False,Moving Violation,1800 block of University Ave.,18:47:52,19:14:34,1128.0,1155.0,636.0,519.0,0,0
2020-10-03,1900-01-01 13:11:00,asian,False,Moving Violation,1900 block of Bonita Ave,18:47:52,19:14:34,1128.0,1155.0,791.0,364.0,0,0
2020-10-03,1900-01-01 12:15:00,white,False,Moving Violation,2000 block of Channing Way,18:47:52,19:14:34,1128.0,1155.0,735.0,420.0,0,0
2020-10-03,1900-01-01 02:03:00,middle eastern/south asian,False,Moving Violation,1100 block of University Ave,18:47:52,19:14:34,1128.0,1155.0,123.0,1032.0,0,0
2020-10-03,1900-01-01 00:15:00,black/african american,False,Moving Violation,2900 block of 7th St,18:47:52,19:14:34,1128.0,1155.0,15.0,1140.0,0,0
2020-10-03,1900-01-01 00:58:00,black/african american,False,Moving Violation,800 block of 59th St,18:47:52,19:14:34,1128.0,1155.0,58.0,1097.0,0,0
2020-10-03,1900-01-01 02:14:00,white,False,Non-moving violation / including registration,600 block of Bancroft Wy,18:47:52,19:14:34,1128.0,1155.0,134.0,1021.0,0,0
2020-10-03,1900-01-01 02:56:00,black/african american,False,Moving Violation,2000 block of 6th St,18:47:52,19:14:34,1128.0,1155.0,176.0,979.0,0,0
2020-10-03,1900-01-01 01:42:00,black/african american,False,Non-moving violation / including registration,1900 block of California St,18:47:52,19:14:34,1128.0,1155.0,102.0,1053.0,0,0
2020-10-03,1900-01-01 02:14:00,black/african american,False,Moving Violation,400 block of University Ave,18:47:52,19:14:34,1128.0,1155.0,134.0,1021.0,0,0
2020-10-04,1900-01-01 21:07:00,black/african american,False,Moving Violation,2200 block of Bancroft Way,18:46:22,19:13:04,1126.0,1153.0,1267.0,-114.0,1,1
2020-10-04,1900-01-01 20:15:00,white,True,Equipment Violation,Shattuck/Kitteredge.,18:46:22,19:13:04,1126.0,1153.0,1215.0,-62.0,1,1
2020-10-04,1900-01-01 20:00:00,black/african american,False,Non-moving violation / including registration,2100 block of Milvia St,18:46:22,19:13:04,1126.0,1153.0,1200.0,-47.0,1,1
2020-10-04,1900-01-01 20:15:00,white,True,Equipment Violation,Shattuck/Kitteredge.,18:46:22,19:13:04,1126.0,1153.0,1215.0,-62.0,1,1
2020-10-04,1900-01-01 19:33:00,black/african american,False,Equipment Violation,1000 block of Bancroft Way,18:46:22,19:13:04,1126.0,1153.0,1173.0,-20.0,1,1
2020-10-04,1900-01-01 23:44:00,hispanic/latino,False,Moving Violation,1800 block of 4th St,18:46:22,19:13:04,1126.0,1153.0,1424.0,-271.0,0,1
2020-10-04,1900-01-01 23:30:00,asian,False,Moving Violation,Sacramento and Allston.,18:46:22,19:13:04,1126.0,1153.0,1410.0,-257.0,0,1
2020-10-04,1900-01-01 03:18:00,black/african american,False,Equipment Violation,1100 block of University Ave,18:46:22,19:13:04,1126.0,1153.0,198.0,955.0,0,0
2020-10-05,1900-01-01 03:11:00,black/african american,False,Non-moving violation / including registration,Seawall Dr,18:44:52,19:11:35,1125.0,1152.0,191.0,961.0,0,0
