date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark,neighborhood,zip,coords,gmap address
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Bunkie,94939,"30.9542005, -92.18976119999999","S Knoll Ave & N Knoll Ave, Bunkie, LA 71322, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,South Knoll Road,94941,"37.90238240000001, -122.5121632","1 S Knoll Rd, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,Bridge Way,94960,"37.9758474, -122.5770926","1 Bridge Way, San Anselmo, CA 94960, USA"
,,,,,,,,,,,,,,,Gate 6 Road,94965,"37.8733515, -122.5064931","1 Gate 6 Rd, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Gate 6 Road,94965,"37.8733515, -122.5064931","1 Gate 6 Rd, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Gate 6 Road,94965,"37.8733515, -122.5064931","1 Gate 6 Rd, Sausalito, CA 94965, USA"
