date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
2020-09-30 22:30:00,1900-01-01 22:30:00,hispanic/latino(a),2_Equipment violation,,0.0,2000 sir Francis drake Blvd ,18:54:19,19:21:04,1134.0,1161.0,1350.0,-189.0,0,1
2020-10-01 00:16:00,1900-01-01 00:16:00,hispanic/latino(a),2_Equipment violation,,1.0,800 Redwood Highway Frontage Road,18:52:47,19:19:32,1133.0,1160.0,16.0,1144.0,0,0
2020-10-01 00:58:00,1900-01-01 00:58:00,hispanic/latino(a),2_Equipment violation,,1.0,N Bridge Blvd,18:52:47,19:19:32,1133.0,1160.0,58.0,1102.0,0,0
2020-10-01 02:05:00,1900-01-01 02:05:00,hispanic/latino(a),1_Moving violation,,1.0,Sb 101@ Marin City,18:52:47,19:19:32,1133.0,1160.0,125.0,1035.0,0,0
2020-10-01 12:23:00,1900-01-01 12:23:00,white,1_Moving violation,,17.0,100 shoreline hwy,18:52:47,19:19:32,1133.0,1160.0,743.0,417.0,0,0
2020-10-01 15:50:00,1900-01-01 15:50:00,hispanic/latino(a),1_Moving violation,,17.0,3000 bridge way ,18:52:47,19:19:32,1133.0,1160.0,950.0,210.0,0,0
2020-10-01 20:44:00,1900-01-01 20:44:00,white,2_Equipment violation,,1.0,500 redwood frontage,18:52:47,19:19:32,1133.0,1160.0,1244.0,-84.0,1,1
2020-10-01 20:58:00,1900-01-01 20:58:00,white,2_Equipment violation,,3.0,SB 101 at N San Pedro,18:52:47,19:19:32,1133.0,1160.0,1258.0,-98.0,1,1
2020-10-01 22:03:00,1900-01-01 22:03:00,black/african american,,,14.0,Gate 6 Rd at bridgeway ,18:52:47,19:19:32,1133.0,1160.0,1323.0,-163.0,0,1
2020-10-02 22:04:00,1900-01-01 22:04:00,middle eastern or south asian,1_Moving violation,,5.0,00uth bound 101 at Marin city,18:51:15,19:18:01,1131.0,1158.0,1324.0,-166.0,0,1
2020-10-02 00:38:00,1900-01-01 00:38:00,white,1_Moving violation,,1.0,30 N San Pedro,18:51:15,19:18:01,1131.0,1158.0,38.0,1120.0,0,0
2020-10-02 02:16:00,1900-01-01 02:16:00,white,,,3.0,7200 Sir Francis Drake Blvd,18:51:15,19:18:01,1131.0,1158.0,136.0,1022.0,0,0
2020-10-01 22:40:00,1900-01-01 22:40:00,white,,,0.0,10 Lucky Drive,18:52:47,19:19:32,1133.0,1160.0,1360.0,-200.0,0,1
2020-10-02 00:08:00,1900-01-01 00:08:00,hispanic/latino(a),,,0.0,Auburn Street/Gilbert Street,18:51:15,19:18:01,1131.0,1158.0,8.0,1150.0,0,0
2020-10-02 01:34:00,1900-01-01 01:34:00,white,,,0.0,3500 Civic Center Drive,18:51:15,19:18:01,1131.0,1158.0,94.0,1064.0,0,0
2020-10-02 02:02:00,1900-01-01 02:02:00,hispanic/latino(a),2_Equipment violation,,1.0,800 Redwood Highway Frontage,18:51:15,19:18:01,1131.0,1158.0,122.0,1036.0,0,0
2020-10-02 10:06:00,1900-01-01 10:06:00,middle eastern or south asian,2_Equipment violation,,15.0,Highway 101/131,18:51:15,19:18:01,1131.0,1158.0,606.0,552.0,0,0
2020-10-02 16:56:00,1900-01-01 16:56:00,white,1_Moving violation,,15.0,Redwood hwy frontage rd/Belvedere dr ,18:51:15,19:18:01,1131.0,1158.0,1016.0,142.0,0,0
2020-10-02 21:30:00,1900-01-01 21:30:00,white,1_Moving violation,,5.0,Los Ranchitos rd @ circle rd,18:51:15,19:18:01,1131.0,1158.0,1290.0,-132.0,0,1
2020-10-03 00:17:00,1900-01-01 00:17:00,white,,,5.0,Marsh Rd and Beach Rd,18:49:44,19:16:30,1130.0,1156.0,17.0,1139.0,0,0
2020-10-03 09:56:00,1900-01-01 09:56:00,hispanic/latino(a),1_Moving violation,,1.0,5000 Sir Francis Drake Blvd,18:49:44,19:16:30,1130.0,1156.0,596.0,560.0,0,0
2020-10-03 21:38:00,1900-01-01 21:38:00,white,1_Moving violation,,11.0,Highway 101 @ Lincoln ,18:49:44,19:16:30,1130.0,1156.0,1298.0,-142.0,0,1
2020-10-03 23:38:00,1900-01-01 23:38:00,white,1_Moving violation,,13.0,CMD @NB 101 Paradise,18:49:44,19:16:30,1130.0,1156.0,1418.0,-262.0,0,1
2020-10-03 22:52:00,1900-01-01 22:52:00,white,2_Equipment violation,,13.0,500 Redwood Hwy Frontage,18:49:44,19:16:30,1130.0,1156.0,1372.0,-216.0,0,1
2020-10-03 23:34:00,1900-01-01 23:34:00,white,1_Moving violation,,3.0,NB Hwy 101 at Rowland,18:49:44,19:16:30,1130.0,1156.0,1414.0,-258.0,0,1
2020-10-03 23:28:00,1900-01-01 23:28:00,hispanic/latino(a),1_Moving violation,,13.0,NB 101 @ shoreline ,18:49:44,19:16:30,1130.0,1156.0,1408.0,-252.0,0,1
2020-10-03 23:35:00,1900-01-01 23:35:00,black/african american,2_Equipment violation,,3.0,Sb 101 at Central San Rafael,18:49:44,19:16:30,1130.0,1156.0,1415.0,-259.0,0,1
2020-10-03 23:35:00,1900-01-01 23:35:00,black/african american,2_Equipment violation,,3.0,SB 101 at Central San Rafael,18:49:44,19:16:30,1130.0,1156.0,1415.0,-259.0,0,1
2020-10-04 00:33:00,1900-01-01 00:33:00,hispanic/latino(a),2_Equipment violation,,3.0,SB 101 at Sir Francis Drake,18:48:13,19:15:00,1128.0,1155.0,33.0,1122.0,0,0
2020-10-04 01:15:00,1900-01-01 01:15:00,hispanic/latino(a),1_Moving violation,,13.0,Sb 101 @ Rodeo,18:48:13,19:15:00,1128.0,1155.0,75.0,1080.0,0,0
2020-10-03 23:21:00,1900-01-01 23:21:00,white,1_Moving violation,,1.0,Spencer ave at Hwy 101,18:49:44,19:16:30,1130.0,1156.0,1401.0,-245.0,0,1
2020-10-04 04:32:00,1900-01-01 04:32:00,white,2_Equipment violation,,13.0,Woodland and Auburn,18:48:13,19:15:00,1128.0,1155.0,272.0,883.0,0,0
2020-10-04 04:45:00,1900-01-01 04:45:00,hispanic/latino(a),2_Equipment violation,,1.0,600 Miller Avenue,18:48:13,19:15:00,1128.0,1155.0,285.0,870.0,0,0
