zip,pop
resource,https://purl.stanford.edu/df986nv4623
94129,4715
94123,23297
94109,49482
94133,27331
94111,2997
94121,40559
94118,38328
94115,28660
94108,14230
94104,750
94105,2083
94122,52828
94117,38311
94102,26793
94103,17813
94107,11977
94116,39424
94131,30625
94114,30577
94110,71118
94116,39424
94131,30625
94110,71118
94132,23667
94127,17837
94112,64318
94134,34603
94124,27105
94015,57539
94014,40234
94005,2952
94080,54562
94044,37604
94066,38703
94030,20508
94019,14034
94010,38377
