ZIP Code,Classification,City,Population,Timezone,Area Code(s)
ZIP Code 94901,General,San Rafael,"41,157",Pacific,415/628
ZIP Code 94903,General,San Rafael,"29,040",Pacific,415/628
ZIP Code 94904,General,Greenbrae,"11,995",Pacific,415
ZIP Code 94912,P.O. Box,San Rafael,0,Pacific,415/628
ZIP Code 94913,P.O. Box,San Rafael,0,Pacific,415/628
ZIP Code 94914,P.O. Box,Kentfield,0,Pacific,415/628
ZIP Code 94915,P.O. Box,San Rafael,0,Pacific,415/628
ZIP Code 94920,General,Belvedere Tiburon,"12,474",Pacific,415/628
ZIP Code 94924,General,Bolinas,"1,638",Pacific,415/628
ZIP Code 94925,General,Corte Madera,"9,253",Pacific,415/628
ZIP Code 94929,P.O. Box,Dillon Beach,264,Pacific,707
ZIP Code 94930,General,Fairfax,"8,500",Pacific,415
ZIP Code 94933,P.O. Box,Forest Knolls,865,Pacific,415/628
ZIP Code 94937,General,Inverness,837,Pacific,415/628
ZIP Code 94938,P.O. Box,Lagunitas,812,Pacific,415/628
ZIP Code 94939,General,Larkspur,"6,859",Pacific,415
ZIP Code 94940,General,Marshall,268,Pacific,707
ZIP Code 94941,General,Mill Valley,"30,496",Pacific,415/628
ZIP Code 94942,P.O. Box,Mill Valley,0,Pacific,415/628
ZIP Code 94945,General,Novato,"17,167",Pacific,415/628
ZIP Code 94946,General,Nicasio,699,Pacific,415/628
ZIP Code 94947,General,Novato,"24,283",Pacific,415/628
ZIP Code 94948,P.O. Box,Novato,0,Pacific,415/628
ZIP Code 94949,General,Novato,"17,202",Pacific,415/628
ZIP Code 94950,P.O. Box,Olema,89,Pacific,415/628
ZIP Code 94956,General,Point Reyes Station,"1,756",Pacific,415/628
ZIP Code 94957,P.O. Box,Ross,"1,332",Pacific,415
ZIP Code 94960,General,San Anselmo,"15,740",Pacific,415
ZIP Code 94963,P.O. Box,San Geronimo,569,Pacific,415/628
ZIP Code 94964,P.O. Box,San Quentin,"5,094",Pacific,415/628
ZIP Code 94965,General,Sausalito,"10,847",Pacific,415/628
ZIP Code 94966,P.O. Box,Sausalito,0,Pacific,415/628
ZIP Code 94970,General,Stinson Beach,683,Pacific,415/628
ZIP Code 94971,P.O. Box,Tomales,337,Pacific,707
ZIP Code 94973,P.O. Box,Woodacre,"1,429",Pacific,415
ZIP Code 94974,General,San Quentin,0,Pacific,415/628
ZIP Code 94976,P.O. Box,Corte Madera,0,Pacific,415
ZIP Code 94977,P.O. Box,Larkspur,0,Pacific,415
ZIP Code 94978,P.O. Box,Fairfax,0,Pacific,415
ZIP Code 94979,P.O. Box,San Anselmo,0,Pacific,415
ZIP Code 94998,Unique,Novato,0,Pacific,415/628
