ZIP Code,Type,County,Population
ZIP Code 94102,Standard,San Francisco,"31,176"
ZIP Code 94103,Standard,San Francisco,"27,170"
ZIP Code 94104,Standard,San Francisco,406
ZIP Code 94105,Standard,San Francisco,"5,846"
ZIP Code 94107,Standard,San Francisco,"26,599"
ZIP Code 94108,Standard,San Francisco,"13,768"
ZIP Code 94109,Standard,San Francisco,"55,984"
ZIP Code 94110,Standard,San Francisco,"69,333"
ZIP Code 94111,Standard,San Francisco,"3,713"
ZIP Code 94112,Standard,San Francisco,"79,407"
ZIP Code 94114,Standard,San Francisco,"31,124"
ZIP Code 94115,Standard,San Francisco,"33,021"
ZIP Code 94116,Standard,San Francisco,"43,698"
ZIP Code 94117,Standard,San Francisco,"39,169"
ZIP Code 94118,Standard,San Francisco,"38,319"
ZIP Code 94119,P.O. Box,San Francisco,0
ZIP Code 94120,P.O. Box,San Francisco,0
ZIP Code 94121,Standard,San Francisco,"41,203"
ZIP Code 94122,Standard,San Francisco,"56,023"
ZIP Code 94123,Standard,San Francisco,"23,088"
ZIP Code 94124,Standard,San Francisco,"33,996"
ZIP Code 94125,P.O. Box,San Francisco,0
ZIP Code 94126,P.O. Box,San Francisco,0
ZIP Code 94127,Standard,San Francisco,"19,289"
ZIP Code 94128,Standard,San Mateo,69
ZIP Code 94129,Standard,San Francisco,"3,183"
ZIP Code 94130,Standard,San Francisco,"2,880"
ZIP Code 94131,Standard,San Francisco,"26,881"
ZIP Code 94132,Standard,San Francisco,"28,129"
ZIP Code 94133,Standard,San Francisco,"26,237"
ZIP Code 94134,Standard,San Francisco,"40,798"
ZIP Code 94137,Unique,San Francisco,0
ZIP Code 94139,Unique,San Francisco,0
ZIP Code 94140,P.O. Box,San Francisco,0
ZIP Code 94141,Standard,San Francisco,0
ZIP Code 94142,P.O. Box,San Francisco,0
ZIP Code 94143,Standard,San Francisco,0
ZIP Code 94144,Unique,San Francisco,0
ZIP Code 94145,Unique,San Francisco,0
ZIP Code 94146,P.O. Box,San Francisco,0
ZIP Code 94147,P.O. Box,San Francisco,0
ZIP Code 94151,Unique,San Francisco,0
ZIP Code 94158,Standard,San Francisco,"4,792"
ZIP Code 94159,P.O. Box,San Francisco,0
ZIP Code 94160,Unique,San Francisco,0
ZIP Code 94161,Unique,San Francisco,0
ZIP Code 94163,Unique,San Francisco,0
ZIP Code 94164,P.O. Box,San Francisco,0
ZIP Code 94172,P.O. Box,San Francisco,0
ZIP Code 94177,Unique,San Francisco,0
ZIP Code 94188,Standard,San Francisco,0
